RowId,Incidents
1,High
2,None
3,None
4,Medium
5,None
6,High
7,Very_High
8,None
9,None
10,None
11,None
12,Very_High
13,Very_High
14,Medium
15,None
16,None
17,Very_High
18,None
19,Medium
20,None
21,None
22,Medium
23,None
24,Medium
25,None
26,None
27,None
28,None
29,None
30,Very_High
31,None
32,None
33,None
34,None
35,High
36,None
37,Medium
38,None
39,Very_High
40,None
41,None
42,None
43,None
44,None
45,None
46,Medium
47,None
48,None
49,None
50,None
51,None
52,None
53,Medium
54,None
55,None
56,High
57,None
58,None
59,None
60,None
61,None
62,Medium
63,None
64,Very_High
65,Medium
66,None
67,Medium
68,None
69,High
70,None
71,None
72,None
73,Medium
74,Very_High
75,Medium
76,None
77,None
78,Very_High
79,Very_High
80,None
81,Low
82,None
83,None
84,None
85,None
86,None
87,Very_High
88,High
89,None
90,None
91,None
92,None
93,None
94,Very_High
95,High
96,None
97,None
98,None
99,High
100,High
101,Very_High
102,Medium
103,None
104,None
105,None
106,None
107,Medium
108,None
109,Medium
110,Very_High
111,Medium
112,Medium
113,None
114,None
115,Very_High
116,None
117,None
118,None
119,None
120,Medium
121,High
122,None
123,None
124,None
125,Very_High
126,Very_High
127,Low
128,None
129,Very_High
130,None
131,Very_High
132,Very_High
133,Very_High
134,None
135,None
136,None
137,High
138,Medium
139,None
140,None
141,Low
142,None
143,None
144,None
145,None
146,None
147,Medium
148,Medium
149,High
150,None
151,None
152,None
153,None
154,Medium
155,None
156,Medium
157,None
158,Medium
159,None
160,None
161,None
162,Low
163,None
164,None
165,Medium
166,None
167,None
168,None
169,None
170,None
171,None
172,Medium
173,None
174,Very_High
175,None
176,Medium
177,Medium
178,None
179,None
180,High
181,None
182,None
183,Low
184,None
185,Low
186,Very_High
187,Very_High
188,None
189,Very_High
190,Medium
191,None
192,None
193,None
194,Very_High
195,Very_High
196,None
197,Medium
198,Very_High
199,Very_High
200,None
201,Medium
202,Medium
203,Medium
204,Medium
205,Medium
206,Very_High
207,Very_High
208,None
209,None
210,None
211,None
212,None
213,None
214,None
215,Medium
216,Medium
217,None
218,None
219,Low
220,None
221,None
222,Very_High
223,None
224,None
225,Medium
226,Medium
227,None
228,Medium
229,None
230,None
231,Very_High
232,None
233,Medium
234,Very_High
235,Very_High
236,None
237,None
238,None
239,None
240,None
241,None
242,None
243,Medium
244,None
245,None
246,Medium
247,None
248,Medium
249,None
250,Very_High
251,Medium
252,None
253,Very_High
254,None
255,None
256,None
257,Very_High
258,None
259,None
260,Medium
261,None
262,None
263,Low
264,None
265,High
266,None
267,None
268,Medium
269,High
270,None
271,High
272,None
273,None
274,Very_High
275,None
276,None
277,Medium
278,Medium
279,None
280,None
281,None
282,None
283,None
284,None
285,None
286,None
287,None
288,Medium
289,None
290,Very_High
291,None
292,None
293,None
294,None
295,Medium
296,Medium
297,Medium
298,Very_High
299,None
300,High
301,None
302,Very_High
303,None
304,None
305,None
306,None
307,None
308,None
309,None
310,Very_High
311,None
312,None
313,None
314,None
315,None
316,High
317,None
318,Medium
319,None
320,None
321,None
322,None
323,Low
324,Medium
325,High
326,None
327,None
328,None
329,None
330,None
331,None
332,None
333,None
334,Very_High
335,None
336,None
337,None
338,None
339,Very_High
340,None
341,None
342,None
343,None
344,Low
345,None
346,None
347,Medium
348,None
349,None
350,None
351,None
352,Medium
353,None
354,Medium
355,High
356,None
357,None
358,Medium
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,Very_High
367,None
368,High
369,Very_High
370,None
371,None
372,None
373,High
374,None
375,None
376,None
377,None
378,None
379,None
380,None
381,Low
382,None
383,High
384,None
385,None
386,None
387,None
388,None
389,None
390,Low
391,None
392,None
393,None
394,None
395,None
396,Medium
397,Medium
398,None
399,Low
400,High
401,Low
402,High
403,None
404,Very_High
405,Medium
406,None
407,None
408,Very_High
409,None
410,None
411,None
412,None
413,None
414,None
415,Medium
416,Medium
417,None
418,Very_High
419,Very_High
420,None
